nombre,precio,url
Spark Double (Retro) (Serialized) [Ravnica Remastered],3386,https://www.tiendalacomarca.cl/products/spark-double-retro-serialized-ravnica-remastered
Survival of the Fittest [Exodus],2520,https://www.tiendalacomarca.cl/products/survival-of-the-fittest-exodus
Psychatog [Magic Player Rewards 2005],1982,https://www.tiendalacomarca.cl/products/psychatog-magic-player-rewards-2005
Vaultborn Tyrant (Showcase) (Raised Foil) [Outlaws of Thunder Junction: The Big Score],1910,https://www.tiendalacomarca.cl/products/vaultborn-tyrant-showcase-raised-foil-outlaws-of-thunder-junction-the-big-score
The Party Tree - The Great Henge (Surge Foil Realms and Relics) [The Lord of the Rings: Tales of Middle-Earth Commander],1803,https://www.tiendalacomarca.cl/products/the-great-henge-the-party-tree-surge-foil-realms-and-relics-the-lord-of-the-rings-tales-of-middle-earth-commander
Tom Bombadil (Borderless Poster) [The Lord of the Rings: Tales of Middle-Earth],1488,https://www.tiendalacomarca.cl/products/tom-bombadil-borderless-poster-the-lord-of-the-rings-tales-of-middle-earth
Balin's Tomb - Ancient Tomb [The Lord of the Rings: Tales of Middle-Earth Commander],1401,https://www.tiendalacomarca.cl/products/ancient-tomb-balins-tomb-the-lord-of-the-rings-tales-of-middle-earth-commander
Metalworker [Urza's Destiny],1274,https://www.tiendalacomarca.cl/products/metalworker-urzas-destiny
Rhystic Study (Anime Borderless) [Wilds of Eldraine: Enchanting Tales],1119,https://www.tiendalacomarca.cl/products/rhystic-study-anime-borderless-wilds-of-eldraine-enchanting-tales
Sneak Attack (Anime Borderless) (Confetti Foil) [Wilds of Eldraine: Enchanting Tales],1087,https://www.tiendalacomarca.cl/products/sneak-attack-anime-borderless-confetti-foil-wilds-of-eldraine-enchanting-tales
Chrome Mox [Mirrodin],1084,https://www.tiendalacomarca.cl/products/chrome-mox-mirrodin
Fierce Guardianship (Foil Etched) [Commander Masters],1048,https://www.tiendalacomarca.cl/products/fierce-guardianship-foil-etched-commander-masters
Stay with Me - Rhystic Study (Showcase) [FINAL FANTASY : Through the Ages],1037,https://www.tiendalacomarca.cl/products/stay-with-me-rhystic-study-showcase-final-fantasy-through-the-ages
Ancient Tomb [Ultimate Masters],986,https://www.tiendalacomarca.cl/products/ancient-tomb-ultimate-masters
"Mabel, Heir to Cragflame (Borderless) (Raised Foil) [Bloomburrow]",980,https://www.tiendalacomarca.cl/products/mabel-heir-to-cragflame-borderless-raised-foil-bloomburrow
Time Spiral [Urza's Saga],979,https://www.tiendalacomarca.cl/products/time-spiral-urzas-saga
Clarion Conqueror (Showcase) (Halo Foil) [Tarkir: Dragonstorm],946,https://www.tiendalacomarca.cl/products/clarion-conqueror-showcase-halo-foil-tarkir-dragonstorm
The Party Tree - The Great Henge [The Lord of the Rings: Tales of Middle-Earth Commander],913,https://www.tiendalacomarca.cl/products/the-great-henge-the-party-tree-the-lord-of-the-rings-tales-of-middle-earth-commander
Ancient Tomb (0001) (Borderless) [Edge of Eternities: Stellar Sights],890,https://www.tiendalacomarca.cl/products/ancient-tomb-0001-borderless-edge-of-eternities-stellar-sights
"Kastral, the Windcrested (Borderless) (Raised Foil) [Bloomburrow]",854,https://www.tiendalacomarca.cl/products/kastral-the-windcrested-borderless-bloomburrow
Miles Morales (0234) (Borderless) [Marvel's Spider-Man],833,https://www.tiendalacomarca.cl/products/miles-morales-0234-borderless-marvels-spider-man
Diabolic Intent (Borderless) [The Lord of the Rings: Tales of Middle-Earth Commander],828,https://www.tiendalacomarca.cl/products/diabolic-intent-borderless-the-lord-of-the-rings-tales-of-middle-earth-commander
Vivi Ornitier (Borderless) [FINAL FANTASY],803,https://www.tiendalacomarca.cl/products/vivi-ornitier-borderless-final-fantasy
The One Ring (Borderless Alternate Art) [The Lord of the Rings: Tales of Middle-Earth],792,https://www.tiendalacomarca.cl/products/the-one-ring-borderless-alternate-art-the-lord-of-the-rings-tales-of-middle-earth
The Soul Stone [Marvel's Spider-Man],784,https://www.tiendalacomarca.cl/products/the-soul-stone-marvels-spider-man
Barrow-Downs - Bojuka Bog (Surge Foil Realms and Relics) [The Lord of the Rings: Tales of Middle-Earth Commander],781,https://www.tiendalacomarca.cl/products/bojuka-bog-barrow-downs-surge-foil-realms-and-relics-the-lord-of-the-rings-tales-of-middle-earth-commander
Ocelot Pride (Borderless) [Modern Horizons 3],739,https://www.tiendalacomarca.cl/products/ocelot-pride-borderless-modern-horizons-3
"Sauron, the Dark Lord (Showcase) (Surge Foil) [The Lord of the Rings: Tales of Middle-Earth]",726,https://www.tiendalacomarca.cl/products/sauron-the-dark-lord-showcase-surge-foil-the-lord-of-the-rings-tales-of-middle-earth
Prime Mirelurk Queen - Hullbreaker Horror (Showcase) (Surge Foil) [Fallout],725,https://www.tiendalacomarca.cl/products/prime-mirelurk-queen-showcase-surge-foil-fallout
